,0
latitude_quake,0.31233712616866827
longitude_quake,0.29525647463702376
magnitude,0.09354407071045866
day_of_year,0.039645242345195654
temperature_2m_min,0.02008049459536947
month,0.019709690833517094
RH2M,0.01570257949634115
temperature_2m_max,0.014303007352267295
T2M,0.014205038345112211
WS2M,0.013866624452468524
